"app_store_name","play_store_name","app_price","game_price","lifespan_years","lifespan_months","estimated_revenue","estimated_spending","total_revenue"
"The EO Bar","The EO Bar",6.99,6.99,10.7,128.4,642000.0,138400.0,503600.0
"Five Nights at Freddy's 3","Five Nights at Freddy's 3",2.99,2.99,10.2,122.4,612000.0,132400.0,479600.0
"Riptide GP: Renegade","Riptide GP: Renegade",2.99,2.99,10.2,122.4,612000.0,132400.0,479600.0
"Toca Life: City","Toca Life: City",2.99,3.99,10.2,122.4,612000.0,132400.0,479600.0
"Tsuro - The Game of the Path","Tsuro - The Game of the Path",2.99,2.99,10.2,122.4,612000.0,132400.0,479600.0
"Where's My Water?","Where's My Water?",1.99,1.99,10.2,122.4,612000.0,132400.0,479600.0
"Battleheart Legacy","Battleheart Legacy",4.99,4.99,10.1,121.2,606000.0,131200.0,474800.0
"Bloons TD 5","Bloons TD 5",2.99,2.99,10.1,121.2,606000.0,131200.0,474800.0
"Five Nights at Freddy's","Five Nights at Freddy's",2.99,2.99,10.1,121.2,606000.0,131200.0,474800.0
"Five Nights at Freddy's 2","Five Nights at Freddy's 2",2.99,2.99,10.1,121.2,606000.0,131200.0,474800.0
"My Movies Pro - Movie & TV Collection Library","My Movies Pro - Movie & TV Collection Library",7.99,7.99,10.1,121.2,606000.0,131200.0,474800.0
"My Talking Pet","My Talking Pet",1.99,4.99,10.1,121.2,606000.0,131200.0,474800.0
"FINAL FANTASY V","FINAL FANTASY V",14.99,7.99,10.0,120.0,600000.0,130000.0,470000.0
"Threema","Threema",2.99,2.99,10.0,120.0,600000.0,130000.0,470000.0
"AJ Jump: Animal Jam Kangaroos!","AJ Jump: Animal Jam Kangaroos!",1.99,1.99,9.9,118.8,594000.0,128800.0,465200.0
"Dr. Panda & Toto's Treehouse","Dr. Panda & Toto's Treehouse",3.99,3.99,9.9,118.8,594000.0,128800.0,465200.0
"F-Sim Space Shuttle","F-Sim Space Shuttle",4.99,4.99,9.9,118.8,594000.0,128800.0,465200.0
"Pocket Yoga","Pocket Yoga",2.99,2.99,9.9,118.8,594000.0,128800.0,465200.0
"The Game of Life","The Game of Life",2.99,2.99,9.9,118.8,594000.0,128800.0,465200.0
"DRAGON QUEST","DRAGON QUEST",2.99,2.99,9.7,116.4,582000.0,126400.0,455600.0
"Farming Simulator 16","Farming Simulator 16",4.99,2.99,9.7,116.4,582000.0,126400.0,455600.0
"Muscle Premium - Human Anatomy, Kinesiology, Bones","Muscle Premium - Human Anatomy, Kinesiology, Bones",19.99,24.99,9.7,116.4,582000.0,126400.0,455600.0
"Toca Builders","Toca Builders",2.99,3.99,9.7,116.4,582000.0,126400.0,455600.0
"Paprika Recipe Manager","Paprika Recipe Manager",4.99,4.99,9.6,115.2,576000.0,125200.0,450800.0
"RollerCoaster Tycoon® Classic","RollerCoaster Tycoon® Classic",5.99,5.99,9.6,115.2,576000.0,125200.0,450800.0
"Baldur's Gate: Enhanced Edition","Baldur's Gate: Enhanced Edition",9.99,9.99,9.5,114.0,570000.0,124000.0,446000.0
"Don't Starve: Pocket Edition","Don't Starve: Pocket Edition",4.99,4.99,9.4,112.8,564000.0,122800.0,441200.0
"Dr. Panda Hospital","Dr. Panda Hospital",2.99,2.99,9.4,112.8,564000.0,122800.0,441200.0
"Grand Theft Auto: San Andreas","Grand Theft Auto: San Andreas",6.99,6.99,9.4,112.8,564000.0,122800.0,441200.0
"LEGO® Friends","LEGO® Friends",4.99,4.99,9.4,112.8,564000.0,122800.0,441200.0
"Please, Don't Touch Anything","Please, Don't Touch Anything",4.99,4.99,9.4,112.8,564000.0,122800.0,441200.0
"True Skate","True Skate",1.99,1.99,9.4,112.8,564000.0,122800.0,441200.0
"NBA JAM by EA SPORTS™","NBA JAM by EA SPORTS™",4.99,4.99,9.3,111.6,558000.0,121600.0,436400.0
"Dr. Panda Supermarket","Dr. Panda Supermarket",2.99,2.99,9.2,110.4,552000.0,120400.0,431600.0
"LEGO Batman: DC Super Heroes","LEGO Batman: DC Super Heroes",4.99,4.99,9.2,110.4,552000.0,120400.0,431600.0
"XCOM®: Enemy Within","XCOM®: Enemy Within",9.99,9.99,9.2,110.4,552000.0,120400.0,431600.0
"Assassin's Creed Identity","Assassin's Creed Identity",4.99,1.99,8.7,104.4,522000.0,114400.0,407600.0
"Don't Starve: Shipwrecked","Don't Starve: Shipwrecked",4.99,4.99,8.6,103.2,516000.0,113200.0,402800.0
"I am Bread","I am Bread",4.99,4.99,8.5,102.0,510000.0,112000.0,398000.0
"Puffin Browser Pro","Puffin Browser Pro",3.99,3.99,8.5,102.0,510000.0,112000.0,398000.0
