"app_store_name","play_store_name","app_price","game_price","lifespan_years","lifespan_months","estimated_revenue","estimated_spending","total_revenue"
"PewDiePie's Tuber Simulator","PewDiePie's Tuber Simulator",0.00,0.00,10.8,129.6,648000.0,139600.0,508400.0
"ASOS","ASOS",0.00,0.00,10.7,128.4,642000.0,138400.0,503600.0
"Domino's Pizza USA","Domino's Pizza USA",0.00,0.00,10.7,128.4,642000.0,138400.0,503600.0
"Egg, Inc.","Egg, Inc.",0.00,0.00,10.7,128.4,642000.0,138400.0,503600.0
"The Guardian","The Guardian",0.00,0.00,10.7,128.4,642000.0,138400.0,503600.0
"Geometry Dash Lite","Geometry Dash Lite",0.00,0.00,10.5,126.0,630000.0,136000.0,494000.0
"Fernanfloo","Fernanfloo",0.00,0.00,10.3,123.6,618000.0,133600.0,484400.0
"Bible","Bible",0.00,0.00,10.2,122.4,612000.0,132400.0,479600.0
"Narcos: Cartel Wars","Narcos: Cartel Wars",0.00,0.00,10.2,122.4,612000.0,132400.0,479600.0
"Solitaire","Solitaire",0.00,0.00,10.2,122.4,612000.0,132400.0,479600.0
"Toy Blast","Toy Blast",0.00,0.00,10.2,122.4,612000.0,132400.0,479600.0
"Zombie Catchers","Zombie Catchers",0.00,0.00,10.2,122.4,612000.0,132400.0,479600.0
"Angry Birds Blast","Angry Birds Blast",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Animal Jam - Play Wild!","Animal Jam - Play Wild!",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Chase Mobile","Chase Mobile",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Choices: Stories You Play","Choices: Stories You Play",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Clash of Clans","Clash of Clans",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Clash Royale","Clash Royale",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Fallout Shelter","Fallout Shelter",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"FINAL FANTASY BRAVE EXVIUS","FINAL FANTASY BRAVE EXVIUS",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Fishdom","Fishdom",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Fuel Rewards® program","Fuel Rewards® program",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Geometry Dash Meltdown","Geometry Dash Meltdown",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Geometry Dash World","Geometry Dash World",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Hill Climb Racing 2","Hill Climb Racing 2",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Hitman Sniper","Hitman Sniper",0.99,0.99,10.1,121.2,606000.0,131200.0,474800.0
"MARVEL Future Fight","MARVEL Future Fight",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Pinterest","Pinterest",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Score! Hero","Score! Hero",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Shadow Fight 2","Shadow Fight 2",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Township","Township",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"War Robots","War Robots",0.00,0.00,10.1,121.2,606000.0,131200.0,474800.0
"Angry Birds Epic RPG","Angry Birds Epic RPG",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
"Army of Heroes","Army of Heroes",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
"Asphalt 8: Airborne","Asphalt 8: Airborne",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
"Boom Beach","Boom Beach",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
"Bullet Force","Bullet Force",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
"Cooking Fever","Cooking Fever",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
"Discord - Chat for Gamers","Discord - Chat for Gamers",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
"Disney Crossy Road","Disney Crossy Road",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
"DoorDash - Food Delivery","DoorDash - Food Delivery",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
"Dude Perfect 2","Dude Perfect 2",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
"GroupMe","GroupMe",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
"Hay Day","Hay Day",0.00,0.00,10.0,120.0,600000.0,130000.0,470000.0
