"play_store_genre","name","genre_rank","total_revenue","prate","avg_genre_rating"
"Action","War Robots",1,490000,4.6,4.47
"Action","Hungry Shark World",2,490000,4.5,4.47
"Action","Dude Perfect 2",3,490000,4.5,4.47
"Action","Bullet Force",4,490000,4.5,4.47
"Action","Smashy Road: Arena",5,490000,4.3,4.47
"Action","Zombie Catchers",6,490000,4.7,4.47
"Action","Swamp Attack",7,490000,4.4,4.47
"Action","MORTAL KOMBAT X",8,490000,4.4,4.47
"Action","Mobile Legends: Bang bang",9,490000,4.4,4.47
"Action","Injustice: Gods Among Us",10,490000,4.4,4.47
"Action;Action & Adventure","OK K.O.! Lakewood Plaza Turbo",1,490000,4.5,4.5
"Adventure","Kim Kardashian: Hollywood",1,490000,4.3,4.225
"Adventure","MARVEL Avengers Academy",2,442000,4.2,4.225
"Adventure","Ingress",3,442000,4.3,4.225
"Adventure","Pokémon GO",4,394000,4.1,4.225
"Adventure;Action & Adventure","ROBLOX",1,490000,4.5,4.5
"Arcade","Geometry Dash Lite",1,538000,4.5,4.54
"Arcade","Angry Birds Rio",2,490000,4.4,4.54
"Arcade","Fernanfloo",3,490000,4.8,4.54
"Arcade","Geometry Dash Meltdown",4,490000,4.6,4.54
"Arcade","Geometry Dash World",5,490000,4.6,4.54
"Arcade","Cooking Fever",6,490000,4.5,4.54
"Arcade","Hungry Shark Evolution",7,490000,4.5,4.54
"Arcade","Nyan Cat: Lost In Space",8,490000,4.5,4.54
"Arcade","Smash Hit",9,490000,4.5,4.54
"Arcade","Sonic Dash",10,490000,4.5,4.54
"Arcade;Action & Adventure","Disney Crossy Road",1,490000,4.5,4.4
"Arcade;Action & Adventure","Shopkins World!",2,442000,4.3,4.4
"Board","Rolling Sky",1,490000,4.5,4.5
"Board;Action & Adventure","RISK: Global Domination",1,442000,4.0,4.0
"Books & Reference","Bible",1,490000,4.7,4.7
"Business","ADP Mobile Solutions",1,442000,4.3,4.025
"Business","Indeed Job Search",2,442000,4.3,4.025
"Business","Uber Driver",3,394000,4.4,4.025
"Business","AirWatch Agent",4,346000,3.1,4.025
"Card","Deck Heroes: Legacy",1,490000,4.7,4.4
"Card","Solitaire",2,490000,4.7,4.4
"Card","UNO ™ & Friends",3,442000,4.1,4.4
"Card","Peggle Blast",4,442000,4.1,4.4
"Card;Brain Games","Solitaire",1,490000,4.4,4.4
"Casual","PewDiePie's Tuber Simulator",1,538000,4.8,4.47
"Casual","Plants vs. Zombies™ 2",2,490000,4.4,4.47
"Casual","Township",3,490000,4.6,4.47
"Casual","My Horse",4,490000,4.5,4.47
"Casual","Hay Day",5,490000,4.5,4.47
"Casual","Pou",6,490000,4.3,4.47
"Casual","My Emma :)",7,490000,4.1,4.47
"Casual","My Talking Tom",8,490000,4.5,4.47
"Casual","Bejeweled Classic",9,490000,4.4,4.47
"Casual","Angry Birds 2",10,490000,4.6,4.47
"Casual;Action & Adventure","Plants vs. Zombies™ Heroes",1,490000,4.4,4.25
"Casual;Action & Adventure","My Little Pony: Harmony Quest",2,442000,4.1,4.25
"Casual;Pretend Play","Animal Jam - Play Wild!",1,490000,4.6,4.6
"Communication","GMX Mail",1,490000,4.3,4.32
"Communication","Discord - Chat for Gamers",2,490000,4.5,4.32
"Communication","WeChat",3,490000,4.2,4.32
"Communication","WhatsApp Messenger",4,490000,4.4,4.32
"Communication","GroupMe",5,490000,4.5,4.32
"Communication","Hangouts",6,442000,4.0,4.32
"Communication","Firefox Focus: The privacy browser",7,442000,4.4,4.32
"Communication","WEB.DE Mail",8,442000,4.3,4.32
"Communication","Puffin Web Browser",9,442000,4.3,4.32
"Communication","Kik",10,442000,4.3,4.32
"Education","TED",1,442000,4.6,4.3
"Education","Edmodo",2,442000,4.1,4.3
"Education","Google Classroom",3,442000,4.2,4.3
"Education;Education","ClassDojo",1,490000,4.4,4.3
"Education;Education","Star Chart",2,490000,4.3,4.3
"Education;Education","Kids A-Z",3,442000,4.2,4.3
"Education;Music & Video","PBS KIDS Video",1,442000,4.2,4.2
"Educational;Action & Adventure","LEGO® Juniors Create & Cruise",1,442000,4.1,4.1
"Entertainment","Fandango Movies - Times + Tickets",1,490000,4.6,4.35
"Entertainment","Talking Ginger 2",2,490000,4.2,4.35
"Entertainment","The CW",3,490000,4.4,4.35
"Entertainment","Xbox",4,490000,4.3,4.35
"Entertainment","Regal Cinemas",5,490000,4.3,4.35
"Entertainment","WWE",6,490000,4.5,4.35
"Entertainment","Netflix",7,442000,4.4,4.35
"Entertainment","STARZ",8,442000,4.3,4.35
"Entertainment","DIRECTV",9,442000,4.1,4.35
"Entertainment","iFunny :)",10,442000,4.4,4.35
"Entertainment;Brain Games","Mad Libs",1,394000,4.0,4.0
"Entertainment;Music & Video","YouTube Kids",1,490000,4.5,4.267
"Entertainment;Music & Video","PlayKids - Educational Cartoons and Games for Kids",2,442000,4.1,4.267
"Entertainment;Music & Video","Nick",3,442000,4.2,4.267
"Finance","USAA Mobile",1,490000,4.5,4.35
"Finance","Chase Mobile",2,490000,4.6,4.35
"Finance","Amex Mobile",3,442000,4.3,4.35
"Finance","Citi Mobile®",4,442000,4.0,4.35
"Finance","Wells Fargo Mobile",5,394000,4.4,4.35
"Finance","U by BB&T",6,346000,4.3,4.35
"Food & Drink","Domino's Pizza USA",1,538000,4.7,4.363
"Food & Drink","Starbucks",2,490000,4.5,4.363
"Food & Drink","DoorDash - Food Delivery",3,490000,4.5,4.363
"Food & Drink","SONIC Drive-In",4,442000,4.3,4.363
"Food & Drink","Whataburger",5,442000,4.5,4.363
"Food & Drink","Allrecipes Dinner Spinner",6,442000,4.5,4.363
"Food & Drink","Chick-fil-A",7,442000,4.3,4.363
"Food & Drink","McDonald's",8,346000,3.6,4.363
"Health & Fitness","Seven - 7 Minute Workout Training Challenge",1,490000,4.5,4.167
"Health & Fitness","Fitbit",2,442000,3.9,4.167
"Health & Fitness","Geocaching®",3,442000,4.1,4.167
"Lifestyle","Fuel Rewards® program",1,490000,4.6,3.886
"Lifestyle","ZARA",2,490000,4.3,3.886
"Lifestyle","Tinder",3,442000,4.0,3.886
"Lifestyle","T-Mobile Tuesdays",4,394000,4.0,3.886
"Lifestyle","H&M",5,394000,3.7,3.886
"Lifestyle","myChevrolet",6,346000,3.5,3.886
"Lifestyle","Philips Hue",7,298000,3.1,3.886
"Maps & Navigation","DB Navigator",1,442000,4.0,4.1
"Maps & Navigation","Uber",2,394000,4.2,4.1
"Music","Just Dance Now",1,442000,4.2,4.2
"News & Magazines","The Guardian",1,538000,4.7,4.283
"News & Magazines","The Washington Post Classic",2,490000,4.5,4.283
"News & Magazines","Twitter",3,442000,4.3,4.283
"News & Magazines","NBC News",4,442000,4.1,4.283
"News & Magazines","USA TODAY",5,442000,4.1,4.283
"News & Magazines","Sky News",6,394000,4.0,4.283
"Photography","PicsArt Photo Studio: Collage Maker & Pic Editor",1,490000,4.5,4.4
"Photography","Afterlight",2,490000,4.3,4.4
"Photography","Photo Editor-",3,490000,4.3,4.4
"Photography","Snapseed",4,490000,4.5,4.4
"Photography","Adobe Illustrator Draw",5,490000,4.4,4.4
"Photography","Photo Editor by Aviary",6,490000,4.4,4.4
"Photography","VSCO",7,442000,4.4,4.4
"Photography","Boomerang from Instagram",8,442000,4.4,4.4
"Productivity","Microsoft Excel",1,490000,4.5,4.39
"Productivity","Microsoft PowerPoint",2,490000,4.5,4.39
"Productivity","Trello",3,490000,4.5,4.39
"Productivity","Verizon Cloud",4,490000,4.3,4.39
"Productivity","Microsoft OneNote",5,490000,4.4,4.39
"Productivity","Google Sheets",6,490000,4.3,4.39
"Productivity","Google Docs",7,490000,4.3,4.39
"Productivity","Microsoft Word",8,490000,4.5,4.39
"Productivity","Dropbox",9,442000,4.4,4.39
"Productivity","Google Slides",10,442000,4.2,4.39
"Puzzle","Bad Piggies HD",1,490000,4.4,4.425
"Puzzle","Toy Blast",2,490000,4.7,4.425
"Puzzle","Angry Birds Blast",3,490000,4.6,4.425
"Puzzle","Fishdom",4,490000,4.6,4.425
"Puzzle","Flow Free",5,490000,4.3,4.425
