"name","app_price","game_price","app_rating","game_rating","app_store_genre","play_store_genre","lifespan_years","estamated_revenue","estemated_spending","total_revenue"
"PewDiePie's Tuber Simulator",0.00,0.00,5.0,4.8,"Games","Casual",10.8,660000,142000,538000
"ASOS",0.00,0.00,5.0,4.7,"Shopping","Shopping",10.7,660000,142000,538000
"Domino's Pizza USA",0.00,0.00,5.0,4.7,"Food & Drink","Food & Drink",10.7,660000,142000,538000
"Egg, Inc.",0.00,0.00,5.0,4.7,"Games","Simulation",10.7,660000,142000,538000
"The Guardian",0.00,0.00,5.0,4.7,"News","News & Magazines",10.7,660000,142000,538000
"Geometry Dash Lite",0.00,0.00,5.0,4.5,"Games","Arcade",10.5,660000,142000,538000
"Fernanfloo",0.00,0.00,4.5,4.8,"Games","Arcade",10.3,600000,130000,490000
"Bible",0.00,0.00,4.5,4.7,"Reference","Books & Reference",10.2,600000,130000,490000
"Narcos: Cartel Wars",0.00,0.00,4.5,4.7,"Games","Strategy",10.2,600000,130000,490000
"Solitaire",0.00,0.00,4.5,4.7,"Games","Card",10.2,600000,130000,490000
"Toy Blast",0.00,0.00,4.5,4.7,"Games","Puzzle",10.2,600000,130000,490000
"Zombie Catchers",0.00,0.00,4.5,4.7,"Games","Action",10.2,600000,130000,490000
"Angry Birds Blast",0.00,0.00,4.5,4.6,"Games","Puzzle",10.1,600000,130000,490000
"Animal Jam - Play Wild!",0.00,0.00,4.5,4.6,"Games","Casual;Pretend Play",10.1,600000,130000,490000
"Chase Mobile",0.00,0.00,4.5,4.6,"Finance","Finance",10.1,600000,130000,490000
"Choices: Stories You Play",0.00,0.00,4.5,4.6,"Games","Simulation",10.1,600000,130000,490000
"Clash of Clans",0.00,0.00,4.5,4.6,"Games","Strategy",10.1,600000,130000,490000
"Clash Royale",0.00,0.00,4.5,4.6,"Games","Strategy",10.1,600000,130000,490000
"Fallout Shelter",0.00,0.00,4.5,4.6,"Games","Simulation",10.1,600000,130000,490000
"FINAL FANTASY BRAVE EXVIUS",0.00,0.00,4.5,4.6,"Games","Role Playing",10.1,600000,130000,490000
"Fishdom",0.00,0.00,4.5,4.6,"Games","Puzzle",10.1,600000,130000,490000
"Fuel Rewards® program",0.00,0.00,4.5,4.6,"Shopping","Lifestyle",10.1,600000,130000,490000
"Geometry Dash Meltdown",0.00,0.00,4.5,4.6,"Games","Arcade",10.1,600000,130000,490000
"Geometry Dash World",0.00,0.00,4.5,4.6,"Games","Arcade",10.1,600000,130000,490000
"Hill Climb Racing 2",0.00,0.00,4.5,4.6,"Games","Racing",10.1,600000,130000,490000
"Hitman Sniper",0.99,0.99,4.5,4.6,"Games","Action",10.1,600000,130000,490000
"MARVEL Future Fight",0.00,0.00,4.5,4.6,"Games","Role Playing",10.1,600000,130000,490000
"Pinterest",0.00,0.00,4.5,4.6,"Social Networking","Social",10.1,600000,130000,490000
"Score! Hero",0.00,0.00,4.5,4.6,"Games","Sports",10.1,600000,130000,490000
"Shadow Fight 2",0.00,0.00,4.5,4.6,"Games","Action",10.1,600000,130000,490000
"Township",0.00,0.00,4.5,4.6,"Games","Casual",10.1,600000,130000,490000
"War Robots",0.00,0.00,4.5,4.6,"Games","Action",10.1,600000,130000,490000
"Angry Birds Epic RPG",0.00,0.00,4.5,4.5,"Games","Role Playing",10.0,600000,130000,490000
"Army of Heroes",0.00,0.00,4.5,4.5,"Games","Strategy",10.0,600000,130000,490000
"Asphalt 8: Airborne",0.00,0.00,4.5,4.5,"Games","Racing",10.0,600000,130000,490000
"Boom Beach",0.00,0.00,4.5,4.5,"Games","Strategy",10.0,600000,130000,490000
"Bullet Force",0.00,0.00,4.5,4.5,"Games","Action",10.0,600000,130000,490000
"Cooking Fever",0.00,0.00,4.5,4.5,"Games","Arcade",10.0,600000,130000,490000
"Discord - Chat for Gamers",0.00,0.00,4.5,4.5,"Social Networking","Communication",10.0,600000,130000,490000
"Disney Crossy Road",0.00,0.00,4.5,4.5,"Games","Arcade;Action & Adventure",10.0,600000,130000,490000
"DoorDash - Food Delivery",0.00,0.00,4.5,4.5,"Food & Drink","Food & Drink",10.0,600000,130000,490000
"Dude Perfect 2",0.00,0.00,4.5,4.5,"Games","Action",10.0,600000,130000,490000
"GroupMe",0.00,0.00,4.5,4.5,"Social Networking","Communication",10.0,600000,130000,490000
"Hay Day",0.00,0.00,4.5,4.5,"Games","Casual",10.0,600000,130000,490000
"Hot Wheels: Race Off",0.00,0.00,4.5,4.5,"Games","Racing;Action & Adventure",10.0,600000,130000,490000
"Hungry Shark Evolution",0.00,0.00,4.5,4.5,"Games","Arcade",10.0,600000,130000,490000
"Hungry Shark World",0.00,0.00,4.5,4.5,"Games","Action",10.0,600000,130000,490000
