"play_store_genre","genre_rank","name","total_revenue"
"Action",1,"Hungry Shark World",490000
"Action",2,"Shadow Fight 2",490000
"Action",3,"Bullet Force",490000
"Action",4,"War Robots",490000
"Action",5,"MARVEL Contest of Champions",490000
"Action",6,"Swamp Attack",490000
"Action",7,"MORTAL KOMBAT X",490000
"Action",8,"Mobile Legends: Bang bang",490000
"Action",9,"Injustice: Gods Among Us",490000
"Action",10,"Deer Hunter Classic",490000
"Action",11,"Call of Duty®: Heroes",490000
"Action",12,"Hitman Sniper",490000
"Action",13,"Dude Perfect 2",490000
"Action",14,"Tiny Archers",490000
"Action",15,"Tomb of the Mask",490000
"Action",16,"Agar.io",490000
"Action",17,"Zombie Catchers",490000
"Action",18,"Temple Run 2",490000
"Action",19,"Smashy Road: Arena",490000
"Action",20,"diep.io",442000
"Action",21,"slither.io",442000
"Action",22,"DRAGON BALL Z DOKKAN BATTLE",442000
"Action;Action & Adventure",1,"OK K.O.! Lakewood Plaza Turbo",490000
"Adventure",1,"Kim Kardashian: Hollywood",490000
"Adventure",2,"MARVEL Avengers Academy",442000
"Adventure",3,"Ingress",442000
"Adventure;Action & Adventure",1,"ROBLOX",490000
"Arcade",1,"Geometry Dash Lite",538000
"Arcade",2,"Endless Ducker",490000
"Arcade",3,"Fernanfloo",490000
"Arcade",4,"Geometry Dash Meltdown",490000
"Arcade",5,"Geometry Dash World",490000
"Arcade",6,"Cooking Fever",490000
"Arcade",7,"Hungry Shark Evolution",490000
"Arcade",8,"Nyan Cat: Lost In Space",490000
"Arcade",9,"Smash Hit",490000
"Arcade",10,"Sonic Dash",490000
"Arcade",11,"Subway Surfers",490000
"Arcade",12,"Angry Birds Rio",490000
"Arcade",13,"Jetpack Joyride",490000
"Arcade",14,"Red Ball 4",490000
"Arcade",15,"Zombie Tsunami",490000
"Arcade",16,"Angry Birds Star Wars",490000
"Arcade",17,"Doodle Jump",490000
"Arcade",18,"Fruit Ninja®",490000
"Arcade",19,"Pineapple Pen",490000
"Arcade",20,"Super Jabber Jump",490000
"Arcade",21,"Temple Run",490000
"Arcade",22,"Angry Birds Space HD",490000
"Arcade",23,"Angry Birds Friends",442000
"Arcade;Action & Adventure",1,"Disney Crossy Road",490000
"Arcade;Action & Adventure",2,"Shopkins World!",442000
"Board",1,"Rolling Sky",490000
"Board;Action & Adventure",1,"RISK: Global Domination",442000
"Books & Reference",1,"Bible",490000
"Business",1,"ADP Mobile Solutions",442000
"Business",2,"Indeed Job Search",442000
"Card",1,"Solitaire",490000
"Card",2,"Deck Heroes: Legacy",490000
"Card",3,"UNO ™ & Friends",442000
"Card",4,"Peggle Blast",442000
"Card;Brain Games",1,"Solitaire",490000
"Casual",1,"PewDiePie's Tuber Simulator",538000
"Casual",2,"Angry Birds 2",490000
"Casual",3,"Pou",490000
"Casual",4,"My Horse",490000
"Casual",5,"Talking Tom Bubble Shooter",490000
"Casual",6,"Plants vs. Zombies™ 2",490000
"Casual",7,"Hay Day",490000
"Casual",8,"My Talking Tom",490000
"Casual",9,"My Talking Angela",490000
"Casual",10,"Township",490000
"Casual",11,"Farm Heroes Saga",490000
"Casual",12,"Bejeweled Classic",490000
"Casual",13,"Candy Crush Saga",490000
"Casual",14,"My Emma :)",490000
"Casual",15,"Candy Crush Soda Saga",490000
"Casual",16,"Dumb Ways to Die 2: The Games",442000
"Casual",17,"The Simpsons™: Tapped Out",442000
"Casual;Action & Adventure",1,"Plants vs. Zombies™ Heroes",490000
"Casual;Action & Adventure",2,"My Little Pony: Harmony Quest",442000
"Casual;Pretend Play",1,"Animal Jam - Play Wild!",490000
"Communication",1,"WeChat",490000
"Communication",2,"Discord - Chat for Gamers",490000
"Communication",3,"GroupMe",490000
"Communication",4,"WhatsApp Messenger",490000
"Communication",5,"GMX Mail",490000
"Communication",6,"Hangouts",442000
"Communication",7,"WEB.DE Mail",442000
"Communication",8,"Firefox Focus: The privacy browser",442000
"Communication",9,"Puffin Web Browser",442000
"Communication",10,"Kik",442000
"Education",1,"Edmodo",442000
"Education",2,"Google Classroom",442000
"Education",3,"TED",442000
"Education;Education",1,"Star Chart",490000
"Education;Education",2,"ClassDojo",490000
"Education;Education",3,"Kids A-Z",442000
"Education;Music & Video",1,"PBS KIDS Video",442000
"Educational;Action & Adventure",1,"LEGO® Juniors Create & Cruise",442000
"Entertainment",1,"Talking Ginger 2",490000
"Entertainment",2,"Xbox",490000
"Entertainment",3,"The CW",490000
"Entertainment",4,"WWE",490000
"Entertainment",5,"Fandango Movies - Times + Tickets",490000
"Entertainment",6,"Regal Cinemas",490000
"Entertainment",7,"DIRECTV",442000
"Entertainment",8,"STARZ",442000
"Entertainment",9,"Netflix",442000
"Entertainment",10,"iFunny :)",442000
"Entertainment",11,"Tom Loves Angela",442000
"Entertainment",12,"Tom's Love Letters",442000
