"name","app_store_genre","play_store_genre","play_review_count","play_install_count","app_review_count","est_app_install_count","lifespan_years","app_install_count_per_year","play_install_count_per_year","total_revenue_per_year"
"NHL","Sports","Sports",68935,5000000,15554,1128164,8.5,132725,588235,52000
"Citi Mobile®","Finance","Finance",78306,5000000,48822,3117386,8.5,366751,588235,52000
"Tinder","Lifestyle","Lifestyle",2789775,100000000,143040,5127295,8.5,603211,11764706,52000
"DB Navigator","Travel","Maps & Navigation",119685,10000000,512,42779,8.5,5033,1176471,52000
"Endless Ducker","Games","Arcade",8193,500000,639,38997,9.5,4105,52632,51579
"Farming Simulator 14","Games","Simulation;Action & Adventure",530854,10000000,3615,68098,9.5,7168,1052632,51579
"Angry Birds Space HD","Games","Arcade",43645,5000000,39502,4525375,9.5,476355,526316,51579
"Farming Simulator 14","Games","Simulation;Action & Adventure",530904,10000000,3615,68091,9.5,7167,1052632,51579
"Mad Skills Motocross","Games","Racing",32522,1000000,9341,287221,9.5,30234,105263,51579
"Microsoft PowerPoint","Productivity","Productivity",618796,100000000,10939,1767788,9.5,186083,10526316,51579
"Microsoft PowerPoint","Productivity","Productivity",618798,100000000,10939,1767782,9.5,186082,10526316,51579
"Tiny Archers","Games","Action",80678,5000000,568,35202,9.5,3705,526316,51579
"Snapseed","Photo & Video","Photography",823109,50000000,8683,527451,9.5,55521,5263158,51579
"USAA Mobile","Finance","Finance",100997,5000000,19946,987455,9.5,103943,526316,51579
"WWE","Entertainment","Entertainment",736824,10000000,7553,102508,9.5,10790,1052632,51579
"WWE","Entertainment","Entertainment",736864,10000000,7553,102502,9.5,10790,1052632,51579
"DIRECTV","Entertainment","Entertainment",235486,10000000,81006,3439950,8.6,399994,1162791,51395
"Geocaching®","Navigation","Health & Fitness",62616,5000000,12811,1022981,8.6,118951,581395,51395
"Facebook","Social Networking","Social",78158306,1000000000,2974676,38059627,8.6,4425538,116279070,51395
"Facebook","Social Networking","Social",78128208,1000000000,2974676,38074289,8.6,4427243,116279070,51395
"Edmodo","Education","Education",200214,10000000,7197,359465,8.6,41798,1162791,51395
"Edmodo","Education","Education",200058,10000000,7197,359746,8.6,41831,1162791,51395
"NBC News","News","News & Magazines",63020,5000000,32881,2608775,8.6,303346,581395,51395
