"play_store_genre","genre_rank","name","total_revenue"
"Action",1,"Hungry Shark World",490000
"Action",2,"Shadow Fight 2",490000
"Action",3,"Bullet Force",490000
"Action",4,"War Robots",490000
"Action",5,"MARVEL Contest of Champions",490000
"Action;Action & Adventure",1,"OK K.O.! Lakewood Plaza Turbo",490000
"Adventure",1,"Kim Kardashian: Hollywood",490000
"Adventure",2,"MARVEL Avengers Academy",442000
"Adventure",3,"Ingress",442000
"Adventure;Action & Adventure",1,"ROBLOX",490000
"Arcade",1,"Geometry Dash Lite",538000
"Arcade",2,"Endless Ducker",490000
"Arcade",3,"Fernanfloo",490000
"Arcade",4,"Geometry Dash Meltdown",490000
"Arcade",5,"Geometry Dash World",490000
"Arcade;Action & Adventure",1,"Disney Crossy Road",490000
"Arcade;Action & Adventure",2,"Shopkins World!",442000
"Board",1,"Rolling Sky",490000
"Board;Action & Adventure",1,"RISK: Global Domination",442000
"Books & Reference",1,"Bible",490000
"Business",1,"ADP Mobile Solutions",442000
"Business",2,"Indeed Job Search",442000
"Card",1,"Solitaire",490000
"Card",2,"Deck Heroes: Legacy",490000
"Card",3,"UNO ™ & Friends",442000
"Card",4,"Peggle Blast",442000
"Card;Brain Games",1,"Solitaire",490000
"Casual",1,"PewDiePie's Tuber Simulator",538000
"Casual",2,"Angry Birds 2",490000
"Casual",3,"Pou",490000
"Casual",4,"My Horse",490000
"Casual",5,"Talking Tom Bubble Shooter",490000
"Casual;Action & Adventure",1,"Plants vs. Zombies™ Heroes",490000
"Casual;Action & Adventure",2,"My Little Pony: Harmony Quest",442000
"Casual;Pretend Play",1,"Animal Jam - Play Wild!",490000
"Communication",1,"WeChat",490000
"Communication",2,"Discord - Chat for Gamers",490000
"Communication",3,"GroupMe",490000
"Communication",4,"WhatsApp Messenger",490000
"Communication",5,"GMX Mail",490000
"Education",1,"Edmodo",442000
"Education",2,"Google Classroom",442000
"Education",3,"TED",442000
"Education;Education",1,"Star Chart",490000
"Education;Education",2,"ClassDojo",490000
"Education;Education",3,"Kids A-Z",442000
"Education;Music & Video",1,"PBS KIDS Video",442000
"Educational;Action & Adventure",1,"LEGO® Juniors Create & Cruise",442000
"Entertainment",1,"Talking Ginger 2",490000
"Entertainment",2,"Xbox",490000
"Entertainment",3,"The CW",490000
"Entertainment",4,"WWE",490000
"Entertainment",5,"Fandango Movies - Times + Tickets",490000
"Entertainment;Music & Video",1,"YouTube Kids",490000
"Entertainment;Music & Video",2,"Nick",442000
"Entertainment;Music & Video",3,"PlayKids - Educational Cartoons and Games for Kids",442000
"Finance",1,"USAA Mobile",490000
"Finance",2,"Chase Mobile",490000
"Finance",3,"Citi Mobile®",442000
"Finance",4,"Amex Mobile",442000
"Food & Drink",1,"Domino's Pizza USA",538000
"Food & Drink",2,"DoorDash - Food Delivery",490000
"Food & Drink",3,"Starbucks",490000
"Food & Drink",4,"SONIC Drive-In",442000
"Food & Drink",5,"Chick-fil-A",442000
"Health & Fitness",1,"Seven - 7 Minute Workout Training Challenge",490000
"Health & Fitness",2,"Fitbit",442000
"Health & Fitness",3,"Geocaching®",442000
"Lifestyle",1,"Fuel Rewards® program",490000
"Lifestyle",2,"ZARA",490000
"Lifestyle",3,"Tinder",442000
"Maps & Navigation",1,"DB Navigator",442000
"Music",1,"Just Dance Now",442000
"News & Magazines",1,"The Guardian",538000
"News & Magazines",2,"The Washington Post Classic",490000
"News & Magazines",3,"NBC News",442000
"News & Magazines",4,"USA TODAY",442000
"News & Magazines",5,"Twitter",442000
"Photography",1,"Adobe Illustrator Draw",490000
"Photography",2,"Afterlight",490000
"Photography",3,"Photo Editor by Aviary",490000
"Photography",4,"Snapseed",490000
"Photography",5,"Photo Editor-",490000
"Productivity",1,"Microsoft Word",490000
"Productivity",2,"Google Docs",490000
"Productivity",3,"Microsoft OneNote",490000
"Productivity",4,"Trello",490000
"Productivity",5,"Microsoft PowerPoint",490000
"Puzzle",1,"Toy Blast",490000
"Puzzle",2,"Bad Piggies",490000
"Puzzle",3,"Bad Piggies HD",490000
"Puzzle",4,"Fishdom",490000
"Puzzle",5,"Flow Free",490000
"Puzzle;Action & Adventure",1,"PAC-MAN Pop",490000
"Puzzle;Action & Adventure",2,"Frozen Free Fall",490000
"Puzzle;Brain Games",1,"Inside Out Thought Bubbles",490000
"Racing",1,"Need for Speed™ No Limits",490000
"Racing",2,"Mad Skills Motocross",490000
"Racing",3,"Hill Climb Racing 2",490000
"Racing",4,"Traffic Racer",490000
"Racing",5,"Asphalt 8: Airborne",490000
"Racing;Action & Adventure",1,"Real Racing 3",490000
"Racing;Action & Adventure",2,"Hot Wheels: Race Off",490000
"Role Playing",1,"Angry Birds Epic RPG",490000
"Role Playing",2,"Summoners War",490000
"Role Playing",3,"FINAL FANTASY BRAVE EXVIUS",490000
